ra_rad,dec_rad,magnitude,bv
5.6228386965,1.2315168153,3.230,-0.201
1.7810719348,-1.0810812248,3.240,0.225
5.2853140601,-0.0143371984,3.240,-0.066
1.9601388027,-0.7557525678,3.250,1.509
3.6929926332,-0.4656950528,3.250,1.091
3.9447509890,-0.4412535238,3.250,1.674
4.9695794529,0.5705404071,3.250,-0.049
0.9915114595,-1.2957143241,3.260,1.590
0.1715996556,0.5386264769,3.270,1.268
4.5466247960,-0.4363243778,3.270,-0.186
5.9980431161,-0.2761254025,3.270,0.066
1.3654219570,-0.2828387763,3.290,-0.110
2.6779356113,-1.2223920127,3.290,-0.074
4.0357669492,1.0291519899,3.290,1.166
1.1955325220,-0.9607160430,3.300,-0.079
2.7577274152,-1.0766121515,3.300,-0.089
1.6357124064,0.3928177436,3.310,1.600
4.5613932233,-0.9839769554,3.310,-0.150
0.2883477037,-0.8153901375,3.320,0.885
0.8079835982,0.6778906595,3.320,1.528
3.2088975991,0.9954069443,3.320,0.077
4.5036176877,-0.7546662123,3.320,0.441
4.7081413916,-0.1705820569,3.320,0.987
5.0044707444,-0.4829399859,3.320,1.169
1.1101352424,-1.0903745178,3.330,0.915
2.9419274527,0.2692968010,3.330,-0.003
2.0476824881,-0.4338851111,3.340,1.218
0.4991424996,1.1112529044,3.350,-0.150
1.4157977591,-0.0418380942,3.350,-0.240
1.7684087828,0.2250705234,3.350,0.443
2.2264548414,1.0597319680,3.350,0.856
5.0854458481,0.0543630841,3.360,0.319
4.0259564860,-0.7799810449,3.370,-0.191
2.2984903710,0.1120293549,3.380,0.685
3.5547696812,-0.0103990230,3.380,0.114
1.4623151733,0.1733837721,3.390,-0.160
2.6925333333,-1.0704506454,3.390,1.541
3.3842085610,0.0592970417,3.390,1.571
5.8069481913,1.0158036285,3.390,1.558
1.1722604465,0.2769991565,3.400,0.179
4.4958240630,-0.2744865517,3.400,0.650
0.3855673035,-0.7560458063,3.410,1.542
1.0501657623,0.2179976718,3.410,-0.099
3.6193970556,-0.7275877825,3.410,-0.225
3.9805969035,-0.9093033999,3.410,0.918
5.4335967516,1.0792903489,3.410,0.912
5.9404986236,0.1890429712,3.410,-0.086
0.4934123459,0.5162479586,3.420,0.488
4.1893233107,-0.6701489499,3.420,-0.206
4.6533058636,0.4838170701,3.420,0.750
5.4321577353,-1.1554640326,3.420,0.163
2.4040525034,-1.0291664792,3.430,-0.190
2.6908188936,0.4087091723,3.430,0.307
5.0014546532,-0.0852166466,3.430,-0.096
2.6925941687,0.7489969632,3.450,0.029
0.2142198755,1.0090653770,3.460,0.587
0.2992795719,-0.1777140351,3.460,1.161
2.0803397581,-0.9247166240,3.460,-0.177
3.9946334660,0.5814535325,3.460,0.961
0.7125335103,0.0564756865,3.470,0.093
3.6198851443,-0.7413064633,3.470,-0.170
2.6499881097,0.2925636845,3.480,-0.031
4.3759592563,0.6793214920,3.480,0.916
0.4540854403,-0.2781615013,3.490,0.727
1.8400968600,-0.4875547652,3.490,1.729
2.9604230952,0.5776045970,3.490,1.400
3.9354825407,0.7049483565,3.490,0.956
4.8300838364,-0.8023009573,3.490,-0.179
5.9714447984,-0.8956482338,3.490,0.083
1.7882687196,-0.5673799696,3.500,-0.116
1.9203987459,0.3836638698,3.500,0.374
5.9763617680,1.1554150784,3.500,1.053
5.2305645147,0.3402021559,3.510,1.571
5.9777660893,0.4293785582,3.510,0.933
0.9741048016,-0.1704033817,3.520,0.915
2.5357477093,0.1726533443,3.520,0.516
2.6043037440,-0.9523876069,3.520,-0.067
4.9309037987,0.5822883858,3.520,0.003
4.9642836239,-0.3683806111,3.520,1.151
5.8040912731,0.1081731488,3.520,0.086
3.3233262359,-0.0252939237,3.520,0.650
1.1720610098,0.3347616812,3.530,1.014
2.1664569037,0.1603179982,3.530,1.481
3.0237928922,-0.5560204497,3.540,0.947
4.1434995228,-0.0598684188,3.540,-0.036
4.6145925258,-0.2687555231,3.540,0.262
